,frame,id,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h
6,7,1.0,2,1367.68994140625,922.2532958984375,1318.0,908.0,1367.6899563318775,922.2532751091704,106.0,30.0,59.41892179979168,1348.0,876.0,1397.0,968.0,1338.0,870.0,70.0,108.0
1,7,4.0,2,904.1331176757812,475.03643798828125,864.0,444.0,904.133122028526,475.0364500792393,74.0,60.0,-53.792675947906645,874.0,481.0,938.0,462.0,856.0,448.0,86.0,60.0
7,8,0.0,2,877.0357055664062,535.9531860351562,762.0,464.0,877.0357054912582,535.9532134942133,230.0,138.0,6.458886760624959,760.0,556.0,988.0,569.0,750.0,470.0,252.0,136.0
7,8,1.0,2,1365.230712890625,918.3543090820312,1316.0,908.0,1365.2307692307693,918.3543123543125,108.0,24.0,61.938688129690675,1347.0,874.0,1394.0,968.0,1338.0,870.0,68.0,108.0
0,8,5.0,2,920.4815063476562,543.0073852539062,850.0,474.0,920.4815297696654,543.0073880921339,142.0,136.0,34.02267897135402,898.0,478.0,909.0,616.0,866.0,478.0,122.0,140.0
8,9,0.0,2,876.09521484375,537.9116821289062,772.0,466.0,876.0952127659573,537.9117021276596,212.0,134.0,8.849223514442276,766.0,568.0,980.0,555.8571428571429,744.0,474.0,248.0,134.0
8,9,1.0,2,1362.8790283203125,914.281494140625,1314.0,904.0,1362.879012345679,914.2814814814816,106.0,22.0,64.33299603237546,1345.0,870.0,1388.0,964.0,1340.0,866.0,62.0,114.0
2,9,4.0,2,906.2933349609375,473.94287109375,866.0,450.0,906.2933333333333,473.9428571428571,78.0,50.0,-40.76420962066362,878.0,497.0,942.0,461.0,860.0,452.0,84.0,52.0
1,9,5.0,2,927.8225708007812,546.7693481445312,860.0,490.0,927.8225529479108,546.7693188322841,126.0,112.0,37.04938691985271,895.0,488.0,924.0,612.0,882.0,488.0,98.0,130.0
9,10,0.0,2,876.1664428710938,537.8853759765625,784.0,470.0,876.1664656212304,537.8854041013269,200.0,122.0,13.438703795095805,790.0,565.0,984.0,547.0,754.0,478.0,230.0,128.0
9,10,1.0,2,1361.0579833984375,911.214111328125,1314.0,900.0,1361.057934508816,911.2141057934508,106.0,22.0,65.71505834266311,1345.0,868.0,1386.0,964.0,1336.0,866.0,66.0,112.0
0,10,6.0,2,940.2926025390625,556.9926147460938,898.0,524.0,940.2925925925923,556.9925925925926,84.0,86.0,8.807916505422277,904.0,518.0,930.0,610.0,904.0,518.0,80.0,96.0
10,11,0.0,2,865.388671875,534.0438842773438,780.0,454.0,865.388679245283,534.043910806175,180.0,136.0,18.641617066518272,790.0,513.0,948.0,560.0,776.0,474.0,172.0,124.0
10,11,1.0,2,1359.145263671875,906.9344482421875,1316.0,896.0,1359.145299145299,906.934472934473,98.0,22.0,66.89472835466115,1345.0,866.0,1381.0,958.0,1334.0,864.0,66.0,108.0
1,11,6.0,2,945.4473876953125,557.6951904296875,908.0,516.0,945.4473684210526,557.6951754385965,80.0,76.0,-21.412275946111173,914.0,526.0,926.0,602.0,912.0,522.0,78.0,88.0
2,12,6.0,2,946.9613037109375,558.2806396484375,908.0,518.0,946.9613259668507,558.2806629834254,84.0,76.0,-16.132659702433454,913.0,526.0,920.0,602.0,912.0,522.0,82.0,80.0
0,12,7.0,2,863.3922729492188,532.5070190429688,778.0,444.0,863.3922535211267,532.5070422535211,174.0,146.0,27.37491454271064,784.0,510.0,936.0,553.1818181818181,780.0,470.0,156.0,132.0
0,12,8.0,2,824.208984375,522.7621459960938,778.0,486.0,824.2090090090089,522.7621621621622,104.0,70.0,61.72748114300094,821.0,478.0,836.0,572.0,774.0,472.0,80.0,100.0
11,13,0.0,2,878.6621704101562,544.7811889648438,800.0,468.0,878.6621923937361,544.7812080536913,144.0,136.0,49.9309082374685,905.0,480.0,905.0,598.0,830.0,480.0,106.0,120.0
11,13,1.0,2,1355.4688720703125,899.64404296875,1316.0,888.0,1355.4689265536724,899.6440677966102,90.0,24.0,67.49836872842646,1342.0,862.0,1373.0,948.0,1326.0,860.0,66.0,102.0
3,13,6.0,2,943.5626220703125,558.3699340820312,898.0,518.0,943.5626204238921,558.3699421965318,94.0,72.0,-13.007453344700705,906.0,562.2,990.0,544.0,906.0,526.0,88.0,70.0
1,13,8.0,2,825.1975708007812,522.3500366210938,780.0,484.0,825.1975435005118,522.3500511770727,102.0,76.0,59.73287989658167,818.0,478.0,835.0,572.0,768.0,472.0,86.0,100.0
12,14,0.0,2,883.9518432617188,550.1348266601562,808.0,496.0,883.9518536350505,550.1348098218583,140.0,110.0,40.570626214861456,867.0,486.0,911.0,600.0,834.0,486.0,104.0,114.0
4,14,6.0,2,947.2086791992188,556.5454711914062,904.0,514.0,947.2086776859503,556.5454545454545,90.0,74.0,-15.275783382415344,912.0,558.0,992.0,541.0,912.0,522.0,86.0,72.0
2,14,8.0,2,828.4058227539062,516.759765625,788.0,492.0,828.4058441558443,516.7597402597403,94.0,46.0,61.37365215534975,818.0,478.0,842.0,566.0,770.0,474.0,82.0,92.0
13,15,0.0,2,885.6071166992188,552.8031005859375,800.0,494.0,885.6071103008203,552.8030993618961,156.0,114.0,39.8956188538026,831.0,486.0,921.0,606.0,830.0,486.0,114.0,120.0
5,15,6.0,2,953.9158935546875,558.0889282226562,906.0,510.0,953.9158653846154,558.0889423076924,94.0,78.0,-28.746211370347627,918.0,558.8823529411766,994.0,540.0,918.0,522.0,84.0,72.0
14,16,0.0,2,893.182861328125,559.5079956054688,830.0,518.0,893.1828737300435,559.5079825834542,128.0,70.0,41.93297711829511,832.0,538.0,952.0,567.0,826.0,470.0,126.0,144.0
6,16,6.0,2,960.6773681640625,558.8591918945312,908.0,538.0,960.6773618538324,558.8591800356506,96.0,40.0,-43.848088164586265,924.0,580.0,996.0,538.0,924.0,520.0,78.0,76.0
0,16,9.0,2,1351.637939453125,888.3103637695312,1320.0,880.0,1351.6379310344828,888.3103448275862,72.0,16.0,66.36153254150946,1341.0,858.0,1366.0,926.0,1324.0,854.0,54.0,102.0
15,17,0.0,2,898.828857421875,560.9805908203125,834.0,504.0,898.8288401253917,560.9805642633229,130.0,88.0,38.9673118693856,838.0,534.0,960.0,559.0,812.0,470.0,148.0,144.0
1,17,9.0,2,1351.7940673828125,888.8308715820312,1316.0,880.0,1351.7941176470588,888.8308823529413,78.0,18.0,66.4247309262026,1340.0,856.0,1367.0,928.0,1318.0,852.0,58.0,100.0
0,17,10.0,2,966.8773193359375,558.950927734375,912.0,540.0,966.8773006134967,558.9509202453987,96.0,40.0,-51.25166735865992,981.0,524.0,941.0,602.0,934.0,520.0,70.0,82.0
16,18,0.0,2,900.935791015625,560.1487426757812,832.0,502.0,900.935791481246,560.1487603305785,138.0,88.0,44.12610604982744,882.3333333333335,496.0,937.0,612.0,814.0,472.0,148.0,144.0
2,18,9.0,2,1351.0191650390625,886.6206665039062,1316.0,878.0,1351.0191570881227,886.6206896551724,80.0,18.0,65.836302595206,1339.0,854.0,1367.0,928.0,1320.0,850.0,56.0,102.0
1,18,10.0,2,973.458984375,555.69287109375,918.0,536.0,973.4589877835953,555.6928446771378,92.0,40.0,-56.860753159515546,987.0,522.0,948.0,604.0,944.0,520.0,64.0,84.0
17,19,0.0,2,899.0025634765625,562.7693481445312,830.0,526.0,899.0025348542459,562.7693282636249,140.0,84.0,51.08373540381752,885.0,494.0,941.0,614.0,828.0,478.0,136.0,138.0
3,19,9.0,2,1350.523681640625,885.4327392578125,1316.0,876.0,1350.5236363636366,885.4327272727272,80.0,18.0,65.21680921064302,1339.0,854.0,1368.0,926.0,1322.0,848.0,52.0,102.0
2,19,10.0,2,980.3419189453125,548.429443359375,936.0,528.0,980.3419483101393,548.4294234592445,74.0,42.0,-58.53103988954157,986.0,522.0,962.0,588.0,952.0,518.0,58.0,86.0
18,20,0.0,2,901.5386352539062,562.3729858398438,834.0,532.0,901.538661468486,562.3729694606888,140.0,66.0,46.90697240911522,879.0,496.0,943.0,616.0,828.0,472.0,140.0,146.0
3,20,10.0,2,983.0167236328125,545.4183959960938,952.0,526.0,983.0167364016736,545.418410041841,60.0,40.0,-52.15219854694802,989.0,520.0,968.0,574.0,954.0,516.0,60.0,88.0
19,21,0.0,2,901.3788452148438,566.3219604492188,832.0,536.0,901.3788150807901,566.3219628964691,144.0,74.0,43.61144014731504,836.0,551.0,964.0,604.0,828.0,482.0,140.0,138.0
4,21,9.0,2,1350.0269775390625,884.189208984375,1312.0,876.0,1350.027027027027,884.1891891891893,84.0,18.0,65.4981393142841,1336.0,850.0,1368.0,926.0,1320.0,844.0,54.0,104.0
4,21,10.0,2,984.7444458007812,544.6760864257812,952.0,524.0,984.7444668008047,544.6760563380282,62.0,42.0,-49.461203221498785,991.0,520.0,969.0,572.0,954.0,516.0,62.0,80.0
0,21,11.0,2,930.164794921875,466.3125,894.0,450.0,930.1647727272727,466.3125,66.0,30.0,-16.30141695311675,898.0,479.0,960.0,460.0,888.0,452.0,82.0,38.0
20,22,0.0,2,904.57763671875,568.279541015625,834.0,538.0,904.5776128633272,568.2795299938158,144.0,74.0,42.72562348975431,838.0,557.0,966.0,604.0,832.0,490.0,138.0,130.0
5,22,9.0,2,1349.1553955078125,880.9912109375,1308.0,870.0,1349.1554252199417,880.9912023460411,92.0,22.0,63.992785739908896,1330.0,846.0,1366.0,928.0,1314.0,838.0,70.0,104.0
5,22,10.0,2,986.447998046875,543.7760009765625,952.0,524.0,986.448,543.776,64.0,40.0,-47.39413159979374,994.0,518.0,974.6666666666665,570.0,954.0,514.0,66.0,80.0
1,22,11.0,2,932.3025512695312,465.2997131347656,898.0,450.0,932.3025210084033,465.2997198879552,64.0,30.0,-17.191149165043704,900.0,479.0,962.0,461.0,888.0,450.0,80.0,40.0
21,23,0.0,2,908.5847778320312,570.143310546875,832.0,542.0,908.5847728726808,570.1433141394754,148.0,70.0,44.5316156767304,844.0,562.0,968.0,606.0,836.0,490.0,134.0,132.0
6,23,9.0,2,1346.5137939453125,873.2154541015625,1304.0,860.0,1346.513812154696,873.2154696132595,88.0,28.0,57.73303375200079,1320.0,840.0,1359.0,918.0,1306.0,834.0,76.0,92.0
6,23,10.0,2,988.0319213867188,543.24951171875,950.0,524.0,988.0319361277444,543.249500998004,68.0,40.0,-44.88010074385458,996.0,518.0,963.0,572.0,952.0,514.0,70.0,82.0
2,23,11.0,2,933.0465087890625,464.9418640136719,898.0,448.0,933.046511627907,464.94186046511635,64.0,32.0,-17.246469509219875,902.0,479.0,962.0,460.0,890.0,450.0,80.0,42.0
22,24,0.0,2,914.608642578125,571.7724609375,840.0,506.0,914.6086461888507,571.7724687144482,144.0,112.0,38.361677461404035,848.0,570.0,974.0,549.0,842.0,496.0,132.0,128.0
7,24,9.0,2,1344.915771484375,866.8421020507812,1302.0,854.0,1344.9157894736845,866.8421052631578,84.0,26.0,48.37685321222389,1316.0,836.0,1363.0,902.0,1300.0,830.0,92.0,94.0
3,24,11.0,2,934.2555541992188,465.227783203125,900.0,450.0,934.2555555555556,465.22777777777776,64.0,30.0,-17.014054417989314,902.0,479.0,964.0,460.0,890.0,450.0,80.0,42.0
0,24,12.0,2,983.7339477539062,550.826904296875,922.0,532.0,983.7339743589743,550.8269230769231,102.0,40.0,-53.88386595531601,1000.0,516.0,960.0,604.0,952.0,512.0,72.0,92.0
23,25,0.0,2,919.8744506835938,568.9041137695312,852.0,500.0,919.8744525547444,568.9041362530412,134.0,120.0,16.08083399785205,854.0,570.0,990.0,540.0,844.0,498.0,146.0,124.0
8,25,9.0,2,1344.7586669921875,866.9168090820312,1296.0,850.0,1344.7586206896553,866.9168356997972,90.0,40.0,49.11628184531178,1315.0,832.0,1350.0,908.0,1296.0,826.0,90.0,94.0
4,25,11.0,2,935.279541015625,464.8494567871094,900.0,448.0,935.2795698924733,464.84946236559136,66.0,32.0,-18.32963350998245,902.0,479.0,964.0,460.0,892.0,448.0,80.0,44.0
1,25,12.0,2,977.0208129882812,555.6964721679688,918.0,528.0,977.0208078335373,555.6964504283966,110.0,52.0,-44.86637567294323,1000.0,516.0,951.0,602.0,940.0,510.0,84.0,92.0
0,25,13.0,2,830.7880249023438,502.33416748046875,804.0,482.0,830.7880299251871,502.3341645885287,50.0,40.0,-57.03536461295918,832.0,480.0,818.0,526.0,796.0,476.0,70.0,70.0
24,26,0.0,2,930.1417846679688,566.3522338867188,866.0,522.0,930.1417666303163,566.3522355507089,138.0,90.0,-7.056472041971895,862.0,532.0,998.0,540.0,840.0,508.0,158.0,114.0
9,26,9.0,2,1344.8492431640625,864.8214111328125,1292.0,848.0,1344.8492063492065,864.8214285714287,96.0,38.0,48.92161203151207,1312.0,826.0,1356.0,908.0,1296.0,820.0,92.0,100.0
5,26,11.0,2,937.0704345703125,464.57464599609375,902.0,448.0,937.0704225352112,464.57464788732386,64.0,32.0,-18.01031527647735,904.0,478.0,966.0,459.0,894.0,448.0,80.0,44.0
2,26,12.0,2,984.1853637695312,548.5889282226562,934.0,528.0,984.1853512705529,548.5889387144992,92.0,44.0,-42.36719226949602,1001.0,516.0,958.0,586.0,950.0,510.0,76.0,76.0
1,26,13.0,2,832.3076782226562,503.6394348144531,804.0,484.0,832.3076923076923,503.63942307692315,52.0,42.0,-63.722697910203024,834.0,480.0,818.0,528.0,798.0,478.0,64.0,70.0
25,27,0.0,2,936.202880859375,567.936279296875,860.0,526.0,936.202867764206,567.9362719065323,154.0,90.0,-20.04583766138033,862.0,587.0,1000.0,538.0,842.0,510.0,158.0,112.0
10,27,9.0,2,1343.666015625,861.1796875,1288.0,844.0,1343.666061705989,861.1796733212341,106.0,30.0,46.41781839444648,1307.0,820.0,1369.0,904.0,1294.0,816.0,94.0,104.0
7,27,10.0,2,989.6790771484375,544.8492431640625,944.0,520.0,989.679092382496,544.8492706645056,84.0,48.0,-42.94152289589601,1004.0,514.0,967.0,580.0,960.0,510.0,66.0,70.0
6,27,11.0,2,938.7048950195312,464.4917907714844,904.0,448.0,938.7049180327867,464.4918032786885,64.0,32.0,-15.862377035879025,906.0,478.0,968.0,460.0,894.0,448.0,82.0,44.0
2,27,13.0,2,832.4354248046875,503.3588562011719,804.0,484.0,832.4354066985646,503.35885167464113,54.0,38.0,-52.63795583534432,835.0,480.0,820.0,528.0,794.0,476.0,74.0,78.0
26,28,0.0,2,943.2989501953125,569.6683349609375,862.0,534.0,943.2989462007764,569.6683305601775,160.0,96.0,-23.895031949956287,862.0,587.0,1006.0,538.0,850.0,512.0,156.0,114.0
11,28,9.0,2,1341.6702880859375,858.1087036132812,1284.0,842.0,1341.6702898550725,858.1086956521739,114.0,28.0,46.54388070700171,1304.0,816.0,1372.0,906.0,1290.0,810.0,104.0,112.0
7,28,11.0,2,939.3333129882812,464.34173583984375,904.0,448.0,939.3333333333335,464.3417366946779,64.0,32.0,-17.64818868232943,906.0,478.0,968.0,459.0,896.0,448.0,80.0,44.0
3,28,13.0,2,833.6442260742188,503.6875,806.0,484.0,833.6442307692308,503.6875,54.0,38.0,-50.812241995423356,837.0,480.0,822.0,528.0,796.0,476.0,70.0,72.0
27,29,0.0,2,943.0555419921875,568.8236083984375,848.0,528.0,943.0555555555555,568.8236331569665,184.0,96.0,-19.142135938620385,850.0,586.0,1020.0,531.0,844.0,510.0,176.0,112.0
12,29,9.0,2,1340.7615966796875,858.4157104492188,1276.0,842.0,1340.7616279069769,858.4156976744188,126.0,32.0,49.00394232316661,1300.0,810.0,1368.0,914.0,1284.0,802.0,110.0,124.0
8,29,11.0,2,940.0894775390625,465.1368408203125,904.0,448.0,940.0894736842104,465.1368421052632,66.0,32.0,-15.186090084262384,908.0,479.0,970.0,460.0,898.0,450.0,78.0,38.0
4,29,13.0,2,834.4635620117188,504.8344421386719,800.0,486.0,834.4635761589404,504.8344370860927,62.0,38.0,-51.574127393076274,838.0,480.0,816.0,534.0,796.0,476.0,70.0,80.0
28,30,0.0,2,939.4432983398438,565.83203125,838.0,532.0,939.44329004329,565.8320346320346,194.0,84.0,-17.315550805687238,840.0,584.0,1022.0,530.0,832.0,508.0,190.0,110.0
13,30,9.0,2,1335.9774169921875,851.9387817382812,1272.0,836.0,1335.977455716586,851.938808373591,130.0,30.0,48.28433511620965,1295.0,804.0,1368.0,910.0,1282.0,800.0,122.0,126.0
9,30,11.0,2,941.8162841796875,464.0787353515625,906.0,448.0,941.8162729658792,464.0787401574803,66.0,30.0,-16.711405307843833,910.0,478.0,972.0,460.0,900.0,448.0,80.0,42.0
5,30,13.0,2,835.4135131835938,504.8438720703125,798.0,486.0,835.4135021097046,504.84388185654007,66.0,38.0,-46.88308143978903,839.0,480.0,815.0,536.0,796.0,476.0,74.0,84.0
29,31,0.0,2,937.0634155273438,563.52001953125,830.0,526.0,937.0634390651084,563.5200333889818,204.0,86.0,-15.578876557463555,832.0,585.0,1026.0,526.0,822.0,504.0,206.0,112.0
14,31,9.0,2,1330.2646484375,843.8419189453125,1270.0,830.0,1330.2646048109966,843.8419243986255,126.0,28.0,46.787365275443115,1291.0,800.0,1371.0,892.0,1278.0,796.0,126.0,128.0
10,31,11.0,2,945.828857421875,462.3422546386719,920.0,446.0,945.8288770053476,462.3422459893048,56.0,34.0,-8.906062022594677,922.0,462.0,976.0,459.0,908.0,444.0,76.0,46.0
6,31,13.0,2,838.3992309570312,503.1377258300781,808.0,480.0,838.3992015968063,503.1377245508982,62.0,42.0,-40.36568590017417,812.0,507.0,868.0,494.0,806.0,478.0,68.0,82.0
30,32,0.0,2,936.6956176757812,563.56005859375,822.0,520.0,936.6956217162872,563.5600700525396,214.0,96.0,-13.361460804663524,824.0,585.0,1028.0,528.0,818.0,506.0,210.0,106.0
15,32,9.0,2,1330.3333740234375,844.9719848632812,1262.0,830.0,1330.3333333333333,844.9719887955182,134.0,30.0,48.768933670596255,1287.0,794.0,1363.0,904.0,1272.0,790.0,128.0,132.0
11,32,11.0,2,949.7210693359375,462.24114990234375,922.0,442.0,949.7210401891252,462.24113475177313,60.0,40.0,-9.688479797544234,926.0,465.09090909090907,982.0,460.0,918.0,444.0,70.0,44.0
7,32,13.0,2,841.6514282226562,504.1929016113281,804.0,478.0,841.6514382402706,504.19289340101517,72.0,48.0,-45.49075928793589,841.0,480.0,831.0,546.0,816.0,478.0,60.0,80.0
31,33,0.0,2,933.950439453125,561.5375366210938,814.0,518.0,933.9504240052187,561.5375081539465,224.0,96.0,-13.5154295415175,816.0,585.0,1030.0,523.0,810.0,504.0,224.0,108.0
16,33,9.0,2,1326.6676025390625,840.3977661132812,1258.0,826.0,1326.6675938803896,840.3977746870654,136.0,28.0,48.010301095132114,1282.0,788.0,1361.0,898.0,1270.0,788.0,126.0,130.0
12,33,11.0,2,951.91845703125,462.30902099609375,922.0,444.0,951.9184549356224,462.3090128755365,64.0,38.0,-8.179886437456567,924.0,464.8,986.0,458.0,918.0,446.0,74.0,44.0
8,33,13.0,2,842.5299682617188,503.78143310546875,808.0,478.0,842.5299401197605,503.78143712574854,74.0,58.0,-28.34155530557507,812.0,507.0,882.0,495.0,810.0,476.0,72.0,76.0
32,34,0.0,2,928.912841796875,561.4397583007812,808.0,518.0,928.9128205128204,561.4397435897437,230.0,92.0,-12.67891324585909,810.0,584.0,1032.0,522.0,804.0,504.0,238.0,106.0
17,34,9.0,2,1323.2103271484375,836.0601196289062,1254.0,820.0,1323.2103825136612,836.0601092896175,136.0,32.0,47.832998311514565,1278.0,784.0,1359.0,892.0,1268.0,784.0,120.0,128.0
13,34,11.0,2,951.4043579101562,462.1775207519531,920.0,442.0,951.4043392504933,462.1775147928994,68.0,40.0,-11.762300528247671,922.0,467.0,988.0,457.0,916.0,446.0,76.0,44.0
9,34,13.0,2,842.0733032226562,505.19635009765625,806.0,478.0,842.0732984293193,505.1963350785341,80.0,60.0,-27.95567332101697,808.0,509.0,884.0,495.0,804.0,476.0,82.0,74.0
33,35,0.0,2,923.360107421875,559.7633666992188,802.0,516.0,923.3600816048964,559.7633458007481,236.0,88.0,-12.36589746123957,806.0,584.0,1038.0,577.0,798.0,504.0,250.0,110.0
18,35,9.0,2,1320.2718505859375,831.9195556640625,1252.0,816.0,1320.271844660194,831.9195561719832,134.0,32.0,47.54651900359552,1276.0,782.0,1357.0,888.0,1262.0,780.0,120.0,122.0
14,35,11.0,2,949.693115234375,461.23828125,916.0,442.0,949.6931407942238,461.23826714801436,74.0,40.0,-10.310058772809425,918.0,468.0,990.0,455.0,912.0,444.0,82.0,46.0
10,35,13.0,2,842.6756591796875,504.3230285644531,804.0,480.0,842.6756393001344,504.3230148048452,84.0,54.0,-23.190170632931203,808.0,512.0,888.0,495.0,802.0,474.0,86.0,74.0
34,36,0.0,2,922.5641479492188,560.795166015625,798.0,512.0,922.5641361256545,560.7951570680628,242.0,96.0,-11.301309303909465,802.0,587.0,1036.0,580.0,798.0,504.0,242.0,114.0
19,36,9.0,2,1316.8441162109375,827.08154296875,1248.0,810.0,1316.8440629470672,827.0815450643778,136.0,34.0,47.02461649185875,1271.0,778.0,1354.0,882.0,1260.0,774.0,118.0,118.0
15,36,11.0,2,951.8553466796875,460.1446533203125,914.0,442.0,951.8553345388788,460.14466546112124,78.0,34.0,-8.49376404375537,916.0,462.0,990.0,454.0,910.0,444.0,88.0,44.0
11,36,13.0,2,844.0076904296875,504.043701171875,802.0,482.0,844.0077120822623,504.0437017994858,90.0,50.0,-19.79531844221043,804.0,502.0,890.0,496.0,802.0,474.0,90.0,76.0
35,37,0.0,2,922.2943115234375,561.354736328125,796.0,512.0,922.294296321296,561.3547080661492,244.0,102.0,-11.014258732111001,800.0,591.0,1034.0,523.0,794.0,504.0,250.0,116.0
20,37,9.0,2,1314.027099609375,822.4373779296875,1248.0,806.0,1314.027149321267,822.4374057315234,134.0,30.0,46.34828956709329,1269.0,774.0,1351.0,878.0,1256.0,772.0,120.0,114.0
16,37,11.0,2,952.7969360351562,460.0872802734375,912.0,444.0,952.796963946869,460.0872865275142,80.0,34.0,-9.57190827434784,912.0,467.0,992.0,452.0,908.0,444.0,92.0,44.0
12,37,13.0,2,847.4274291992188,502.9543151855469,802.0,482.0,847.4274193548387,502.9543010752688,94.0,40.0,-15.657911239327106,804.0,503.0,894.0,495.0,796.0,474.0,98.0,78.0
36,38,0.0,2,922.1920776367188,564.1002197265625,796.0,512.0,922.1920976549952,564.1002248634758,246.0,106.0,-11.356524053157985,800.0,595.0,1036.0,529.0,792.0,504.0,250.0,116.0
21,38,9.0,2,1311.7685546875,819.0028686523438,1244.0,804.0,1311.7685714285715,819.002857142857,136.0,28.0,46.016622937926606,1266.0,770.0,1350.0,876.0,1254.0,768.0,120.0,114.0
17,38,11.0,2,951.9814453125,460.1892395019531,910.0,444.0,951.9814471243044,460.18923933209646,86.0,34.0,-9.658873767012842,912.0,464.0,994.0,452.0,906.0,444.0,94.0,44.0
13,38,13.0,2,849.8515625,503.6805114746094,800.0,482.0,849.8515723270441,503.68050314465415,100.0,42.0,-15.984865594933668,802.0,504.0,898.0,495.0,790.0,474.0,108.0,78.0
37,39,0.0,2,921.2243041992188,566.7330932617188,794.0,512.0,921.2243107769424,566.7330827067669,250.0,110.0,-12.009950191522579,800.0,599.0,1036.0,522.0,792.0,502.0,250.0,120.0
22,39,9.0,2,1309.46533203125,816.1713256835938,1242.0,800.0,1309.4652880354504,816.1713441654358,136.0,34.0,46.621265795420655,1264.0,768.0,1347.0,874.0,1254.0,766.0,122.0,116.0
18,39,11.0,2,953.8226318359375,460.3547058105469,910.0,444.0,953.8226415094341,460.35471698113207,88.0,34.0,-10.411299236869175,912.0,476.0,996.0,450.0,906.0,444.0,96.0,42.0
14,39,13.0,2,852.744384765625,503.1829528808594,802.0,482.0,852.7443609022556,503.18295739348366,100.0,42.0,-14.719790515645995,800.0,501.0,902.0,496.0,788.0,474.0,118.0,82.0
